" A spy? Very foolish of you. It will be difficult to report to him when you are dead, won't it? "," ¿Una espía? Es muy tonto por tu parte. Será difícil contárselo a él cuando estés muerta, ¿o no? "
"A bit sure of yourself. I have no need for you. Talk to Nicole if you wish to offer your services. Good night.","Estás bastante segura de ti misma. No te necesito. Habla con Nicole si quieres ofrecer tus servicios. Buenas noches."
"A cynic in our midsts. I am sure you have your reasons. Regardless, I am certain we can bring about some type of understanding.","Una cínica en nuestras filas. Seguro que tienes tus razones. A parte de eso, seguro que podremos sacar a relucir algún tipo de entendimiento."
"A flatterer's tongue is in the mouth of a devil! A devil such as you! Get out of my sight!","¡La boca del diablo alberga una lengua viperina! ¡Una arpía como tú! ¡Vete de aquí!"
"A gift from the Elders, child.","Un regalo de los Ancianos, chica"
"A human spy!","¡Una espía humana!"
"A little slower, but a little bigger. You may not hit as often, but they will feel it when you do! Your total action points are lowered, but your Strength is increased.","Algo más lenta pero más fuerte. Puede que no golpees con tanta frecuencia, ¡pero lo sentirán cuando lo hagas! Tus puntos totales de acción han bajado, pero tu Fuerza ha aumentado."
"A moron. I think that you'd best get out of here. Otherwise, you may become target practice.","Otra tarada. Creo que será mejor que te largues de aquí. Si no, te convertirás en objetivo de prácticas."
"A night owl even as a child, you are more awake and alert when the sun goes down.                                                              +1 Intelligence and +1 Perception between 6:01 PM and 6:00 AM, but you have  -1 Intelligence and -1 Perception between 6:01 AM and 6:00 PM.","Un búho incluso desde niña, estás más atenta y despierta cuando el sol se pone. +1 de Inteligencia y +1 de Percepción entre las 6:01 p. m. y 6:00 a. m., pero -1 de Inteligencia y -1 de Percepción entre las 6:01 a. m. y 6:00 p. m."
"A pity. A blind fanatic is a dangerous person indeed. I hope your stay here in the Hub is not long. We don't take kindly to murders that aren't auth... to murders of any sort. Good day.","Una pena. Un fanático ciego es una persona verdaderamente peligrosa. Espero que tu estancia en el Eje no sea muy larga. No tratamos muy bien a las asesinas no aut... a cualquier tipo de asesinas. Buenos días."
"A thief, eh? Let me show you what we do to your kind here!","Una ladrona, ¿eh? ¡Deja que te enseñe lo que hacemos aquí a los de tu calaña!"
"A true follower of the Master would have that knowledge. You are an intruder!","Un verdadero seguidor del Maestro habría tenido esos conocimientos. ¡Eres una intrusa!"
"A whole Vault? Are you nuts? We don't have that kind of access to that much water. Plus, I wouldn't want to go into those mountains. We've had enough missing caravans.","¿A todo un Refugio? ¡Estás chiflada! No tenemos acceso a esa cantidad de agua. Además, no quiero internarme en esas montañas. Ya han desaparecido demasiadas caravanas."
"Action Boy","Chica Acción"
"Actually, it IS these big mutant guys...","En realidad SON esos grandes tipos mutantes..."
"After pain, there is forgiveness, child","Después del dolor viene el perdón, niña"
"After pain, there is forgiveness, child.","Después del dolor viene el perdón, niña"
"Aggh! You devil!","¡Aggh! ¡Maldita!"
"Agghh! Dirty little son of a...","¡Agghh! Pequeña sucia hija de..."
"Ah ha! An interloper! Just as I suspected. Vincent!","¡Ajá! ¡Una intrusa! Tal como sospechaba. ¡Vincent!"
"Ah, child, it seems that you and I are speaking at different levels. Maybe if you talk to Laura, she can help you better than I can. Peace with you child.","Ah, hija, parece que estamos hablando a niveles distintos. Quizás si hablas con Laura, pueda ayudarte mejor que yo. Que la paz sea contigo hija."
"Ah, my friend. It is good to see you again.","Ah, querida amiga. Me alegra volver a verte."
"Ah, we have here a student of life. In a case like this, I can teach you some herbalism, but training takes a while for little result.","Ah, aquí tenemos una estudiante de la vida. En un caso como este, puedo enseñarte algo de botánica, pero el entrenamiento lleva un rato y el resultado es mínimo."
"Ah. A new convert. Welcome.","¡Ah!, una nueva conversa. Bienvenida."
"Ah. Happy journeys, wanderer.","Ah. Feliz viaje, moradora."
"Ahh, straight to the point, my friend. Excellent. I will help you around town for a measly 500 caps a week. My services are not cheap, but then again, I am worth it.","Ahh, directo al grano, amiga. Excelente. Te serviré de ayuda en la ciudad por la ínfima cantidad de 500 chapas a la semana. No soy barato, pero la verdad es que merezco la pena."
"Ahh, the thinker-normie. You killed those at the shed, yes? Came for reward?","Ah, la normalucho-pensante. Has matado a los del Almacén, ¿no? ¿Vienes por la recompensa?"
"Ahh, wanderer. How goes the search for my daughter?","Ahh, moradora. ¿Cómo va la búsqueda de mi hija?"
"Ahh... Heh heh heh. That would be Lasher. He so loves getting the worshipers in trouble. This is your lucky day, my ignorant little friend. You may leave now without incident. ","Ah... Je, je, je. Seguro que fue Fustigador. Le encanta meter en líos a las devotas. Hoy es tu día de suerte, mi pequeña e ignorante amiga. Puedes irte ahora sin sufrir ningún percance. "
"Ahh... So you are the Vault Dweller I've been hearing about. Surprised? I have my sources. Now, I will take you as a gift to the Master. He'll be very pleased. "," Ah... tú eres la moradora del Refugio de la que he oído hablar. ¿Sorprendida? Tengo mis fuentes. Te llevaré como presente al Maestro. Estará satisfecho. "
"Ahhh, so you're the new Initiate. Welcome aboard. What can I do for you?","Ahhh, así que tú eres la nueva Iniciada. Bienvenida a bordo. ¿En qué puedo ayudarte?"
"Ahhhgh! Miserable human! I am blind!","¡Ahhhgh! ¡Humana miserable! ¡Estoy ciego!"
"Ahhhgh! Miserable human! You have blinded me!","¡Aaah! ¡Humana miserable! ¡Me has dejado ciego!"
"Ahhhhh! Miserable human! You have blinded me!","¡Ahhh! ¡Humana miserable! ¡Me has dejado ciego!"
"Alcoholic","Alcohólica"
"All right, *snort* here's the deal. Junktown, it ain't what it used to be. The only reason it's still here is because of my gambling establishment. Even so, Killian's been breathing down my neck, and I'm starting to take it personal. *snort* And that's where you come in, slick.","Está bien, *resopla* este es el trato. Ciudad Vertedero, ya no es lo que era. No seguiría en pie de no ser por mi casa de juegos. Aun así, Killian me está tocando las narices y estoy empezando a hartarme. *resopla* Y ahí es donde entras tú, astuta."
"Am I one of the Children of the Cathedral? No.","¿Si soy una de los Niños de la Catedral? No."
"Amateur","Aficionada"
"An honest thief. Hmpf. Well, I'm still gonna have to take you in. Come along quietly and you won't get hurt.","Un ladrona honesta. Vaya. Tendré que llevarte dentro de todas formas. Pórtate bien y no te harán daño."
"An insult. How droll. I'd define that word for you, but that would be a waste, wouldn't it. Let's get to your two choices: You can tell me what I want to know. Or I can do it... my way.","Un insulto. Qué graciosa. Te explicaría lo que significa, pero sería una pérdida de tiempo, ¿no crees? Veamos tus dos opciones: Puedes contarme lo que quiero saber. O, puedo hacerlo... a mi manera."
"An intruder!","¡Una intrusa!"
"And if I believed that, why would I be wrong?","Aunque lo creyera, ¿por qué iba a estar equivocada?"
"And you must be so proud of yourself.","Debes sentirte muy orgullosa de ti misma."
"Animal Friend","Amiga de los Animales"
"Animals will not attack one of their friends, unless the animal is threatened or attacked first. Exactly what an animal is in this world is open to debate.","Los animales no atacarían a una de sus amigos, a menos que se les amenace o ataque antes. Aunque todavía está por discutir quién es exactamente un animal en este mundo."
"Another new face. Travelers here are a dime a dozen. But you have the look of someone different. Care to join me for a drink?","Otra cara nueva. Aquí das una patada y salen mil viajeros. Pero tú pareces distinta. ¿Te tomas un trago conmigo?"
"Apology accepted. Please remember you are a guest here. Now, is there anything else?","Disculpa aceptada. No olvides, por favor, que aquí eres una invitada. ¿Algo más?"
"Are you a Child?","¿Eres una de los Niños?"
"Are you always this annoying?","¿Siempre eres tan pesada?"
"Are you an Initiate too?","¿Eres también una Iniciada?"
"Are you claiming that talk will solve nothing? You are more foolish than I thought.","¿Estás diciendo que hablar no solucionará nada? Eres más tonta de lo que pensaba."
"Are you deaf? Leave now!","¿Estás sorda? ¡Vete ahora!"
"Are you hearing okay? I said... ","¿Estás sorda? He dicho..."
"Are you hurt?","¿Estás herida?"
"Are you not the one who seeks to bring peace to the wastelands?","¿No eres tú la que busca traer la paz al yermo?"
"Are you one of them? One of the mutants?","¿Eres una de ellos? ¿Un mutante?"
"Are you ready to go?","¿Estás lista para partir?"
"Are you sure I can't show you what I do for laughs... ","¿Estás seguro de que no quieres ver lo graciosa que soy...? "
"Are you sure? Missing something would be deadly to the Vault. I think you should go back and check it out. Try to the west, there seems to be a large concentration of mutants there.","¿Estás segura? Pasar algo por alto sería fatal para el Refugio. Creo que deberías volver y comprobarlo. Prueba hacia el oeste, por lo visto hay una gran concentración de mutantes."
"Are you... Okay! Okay! Are you deaf? Read my lips, I'm not gonna to say this again.","¿Estás...? ¡Vale! ¡Vale! ¿Estás sorda? Lee mis labios. No te lo repetiré."
"Are you... certain? Uh... excuse my curiosity, but you seemed to be looking specifically for me.","¿Estás... segura? Eh... disculpa mi curiosidad pero parecía que me buscabas específicamente a mí."
"Aren't you tired of talking with me? Hasn't this just been incredibly tedious?","¿No estás cansada de hablar conmigo? ¿No ha sido increíblemente aburrido?"
"Aren't you tired of talking with yourself, you schizo bastard?","¿No estás cansada de hablar contigo misma, bastarda esquizofrénica?"
"Argh! I shall tear you into pieces!","¡Ah! ¡Te despedazaré viva!"
"Arrest this thief!","¡Detened a esta ladrona!"
"As a matter of fact, yes. My old home, Vault 15, had one. I haven't been there since I was hurt, but you might find what you are looking for there. Someone said that they tried to go to the Vault to have a look around, but it was dark and the elevator was broken. I hope you're better prepared.","En realidad, sí. Mi antiguo hogar, el Refugio 15, tenía uno. No he vuelto allí desde que me hirieron, pero puede que allí encuentres lo que buscas. Me dijo alguien que intentaron ir al Refugio para echar un vistazo, pero era demasiado oscuro y el ascensor estaba estropeado. Espero que tú estés mejor preparada."
"As a night-time person, you are more awake when the sun goes down. Your Intelligence and Perception are improved at night, but dulled during the day.","Por tu condición de noctámbula, estás más despierta cuando el sol se pone. Tu Inteligencia y Percepción mejoran por la noche pero durante el día se enturbian."
"Asshole! Shithead! I'm very busy, and you have to bother me! Screw you! Get out of here, you puke! Now!","¡Imbécil! ¡Gilipollas! ¡Estoy muy ocupado y tienes que venir a molestarme! ¡Aguántate! ¡Sal de aquí, asquerosa! ¡Ahora!"
"Avoid my ghouls, if you like your skin on. Any of mine that can't stop a normie deserve last rest. Get by as you need.","Evita a mis necrófagos, si quieres salvar tu pellejo. Cualquiera de los míos que no pueda con una normalucha, merece la muerte. Arréglatelas como puedas."
"Aw! You're no fun. Maybe I should tell the Nightkin about you!","¡Ay! No me resultas simpática. ¡Puede que tenga que informar a los Nocturnos sobre tu existencia!"
"Aw, it's the slayer of the innocents. I've heard of you, and you're lucky I have a badge stopping me from blowing you away on the spot. I suggest you leave our town - Right now. And stay away from our children.","Guau, ésta es la asesina de los inocentes. He oído hablar de ti y tienes suerte, porque llevo una insignia que me impide volarte la cabeza. Te sugiero que te marches de nuestra ciudad... ahora mismo. Y mantente alejado de nuestros hijos."
"Aw, it's the slayer of the innocents. I've heard of you, and you're lucky I have a badge stopping me from blowing you away on the spot. I suggest you leave our town - right now. And stay away from our children.","Oh, la asesina de inocentes. He oído hablar de ti y tienes suerte de que la estrella me impida liquidarte de inmediato. Te sugiero que abandones nuestra ciudad ahora mismo. Y aléjate de nuestros hijos."
"Baby, I'm no psycho, I'm just plain nuts, and if you don't answer my questions I'll prove it!","Cariño, no soy una psicópata, solo estoy chiflada y si no respondes a mis preguntas, ¡te lo demostraré!"
"Bastard!","¡Bastarda!"
"Bastard! My arm!","¡Bastarda! ¡Mi brazo!"
"Be advised; I am unaccustomed to repeating myself.","Date por avisada, no estoy acostumbrado a repetir las cosas."
"Be at peace. I am a friend.","Tranquilo. Soy amiga."
"Be quiet or I'll take out your vocal cords! Debark you like dog! Ha ha ha! Now you wanna get well or not?","¡Cierra el pico o te saco las cuerdas vocales! ¡Ladras como una perra! ¡Ja! ¡Ja! ¡Ja! ¿Quieres ponerte bien o no?"
"Beat it stranger, before there's more bloodshed.","Lárgate, extranjera, antes de que se derrame sangre."
"Beat it, pervert!","¡Vete, pervertida!"
"Because we need to do something. An army's gatherin', Hub caravans are disappearin', and our scouts sure as hell ain't gettin' the job done. So the Elders actually did something once and figured the right Outsider might have something to offer. That Outsider is you... We hope.","Porque tenemos que hacer algo. Se está reuniendo un ejército, las caravanas del Eje desaparecen, y nuestros exploradores no están haciendo su puñetero trabajo. Los Ancianos por fin hicieron algo cuando se les ocurrió que quizás la Forastera adecuada tuviese algo que ofrecer. Esa forastera eres tú... bueno, eso esperamos."
"Become an Initiate.","Convertirse en una Iniciada."
"Being a Speaker means that you have a one-time bonus of +20% to the Speech and Barter skills. From the mouth of babes and all that.","Ser una Oradora significa que tienes un bono del 20%, de un solo uso, en las habilidades Conversación y Trueque. Además de ser una maestra del flirteo, claro."
"Believe me, if you've seen the Nightkin, you'd know why. Unless you're stupid.","Créeme, si hubieses visto a los Nocturnos lo comprenderías. A no ser que seas estúpida."
"Berserker!","¡Pirada!"
"Better dead than like you.","Mejor estar muerta que ser como tú."
"Blasphemer! This is a holy house! How could you think such a thing?","¡Blasfemadora! ¡Estás en una casa sagrada! ¡¿Cómo pudiste pensar tal cosa?!"
"Blasphemer, failure, fool. Repent!","Blasfema, fracasada, tonta. ¡Muestra arrepentimiento!"
"Blasphemer, failure, fool. Soon we'll add corpse to your list of achievements","Blasfema, fracasada, tonta. Pronto añadiremos tu cadáver a la lista de victorias"
"Blessed are the meek of mind. There is nothing wrong with you, my child. Run along and play.","Benditas sean las mentes dóciles. Todo está perfecto, hija mía. Puedes ir a jugar."
"Blessings of the Holy Flame to you, my Child.","Que la Llama Sagrada te bendiga, Niña mía."
"Brahma freak? Is that an attempt at insult'n me? I would be a little more polite to the people ya' meet, stranger. I couldn't care less, but this city is filled with all sorts of cutthroats that wouldn't hesitate to slit yer throat if ya' look at'm wrong.","¿Un fanático de los brahmines? ¿Estás intentando insultarme? Yo de ti sería un poco más educada con la gente que voy conociendo, forastera. Puede que yo importe poco, pero esta ciudad está llena de todo tipo de asesinos que no dudarían en cortarte el cuello si te metes conmigo."
"Bruiser","Fornida"
"Burn in Holy Fire, heathen!","¡Arde en el Fuego Sagrado, pagana!"
"Button your hatch, stranger.","Cierra la boca, extranjera."
"C'mon loser. Gimme a fight!","¡Vamos perdedora! ¡Lucha!"
"C'mon loser. Just drop dead for me","Venga perdedora. Cae muerta para mí"
"C'mon percy boy, give me a fight!","Éste es mi chica, ¡lucha un poquito!"
"C'mon punk. Give me a fight!","Venga, mocosa. ¡Pelea conmigo!"
"C'mon! Bring it on, scag!","¡Venga! ¡Inténtalo de nuevo, mamona!"
"C'mon, punk. Give me a fight!","Vamos, mocosa. ¡Pelea un poquito!"
"C'mon, you skeev, let's rumble!","Vamos, ¡a rodar, amiga!"
"Can I help you, stranger?","¿Puedo ayudarte, forastera?"
"Can't you get someone else? I'm kinda busy... ","¿No puedes buscar a otra? Estoy muy ocupada..."
"Child killer? But it was an accident.","¿Una asesina de niños? Pero si solo fue un accidente."
"Child, you have been punished enough. Away with you","Chica, ya has sido castigado. ¡Fuera de aquí!"
"Child-Killer","Asesina de niños"
"Children are not allowed here. This mutant place. Go away.","No se admiten niñas aquí. Este lugar es solo para mutantes. Vete."
"Children, destroy the intruder!","¡Niños, destruid a la intrusa!"
"Come here and do that again, you bastard","Ven aquí y repítelo, bastarda"
"Come over here, you hunk!","Ven aquí, ¡tonta!"
"Congratulations, human. You've been selected to join an elite band of worshippers. Follow me.","Enhorabuena, humana. Has sido seleccionado para unirte a una élite de devotos. Sígueme."
"Cuz I'm a mean green moth'a from outer space, and I'm... 'bad'!","Porque soy una cosa verde del espacio exterior, ¡y soy... mala!"
"Cuz I'm a mean, green motha from outer space, and I'm... 'bad'!","Mira, soy una bicha raro del espacio exterior, ¡y soy mala!"
"Cuz of all the missing caravans. He doesn't have any to spare, the caravans use most of them. The others are sold for food. Well, I better stop talking; Dan will get mad if he sees me talking to a stranger.","Por lo de las caravanas desaparecidas. A él no le sobra ninguno, las caravanas los necesitan casi todos. Los otros, se venden por comida. Bueno, será mejor que pare de hablar; Dan se enfadará si me ve hablando con una extraña."
"Cuz of all the missing caravans. He doesn't have any to spare, the caravans use most of them. The others are sold for food. Well, I'd better stop talking; Dan will get mad if he sees me talking to a stranger.","Por las caravanas desaparecidas. No les sobra ninguno. Los utilizan casi todos. Los que quedan se cambian por comida. Pero debería dejar de hablar. Dan se va a enfadar si me ve hablar con una desconocida."
"Dammit! You little worm!","¡Maldita! ¡Asquerosa!"
"Damn you for making me do this!","¡Maldita seas por hacerme hacer esto!"
"Damn you!","¡Maldita seas!"
"Damn, you must be good. I'm glad you're on our side. I don't know how you couldn't know, but the Brotherhood is a strange bunch that worship technology, or something like that. They're just a little to the northwest from here.","Caramba, debes ser muy buena. Me alegra que estés de nuestro lado. No comprendo cómo es que no lo sabes, pero la Hermandad del Acero es una panda de colgados que veneran la tecnología, o algo por el estilo. Están algo al noroeste de aquí."
"Death to the human!","¡Muerte al humana!"
"Deathslayer!","¡La Sembradora de Muerte!"
"Deathslayer, eh? You look more like worm bait to me.","¿Sembradora de Muerte, eh? A mí me pareces más una rata."
"Desert Strider.","Viajera del Desierto."
"Dharma said, 'A man and his wayward tongue are soon parted.' Come back when you have learned some manners.","Dharma dijo: ""Pronto se van el hombre y su caprichosa lengua"". Vuelve cuando hayas aprendido a ser educada."
"Die Human Fool!","¡Muere, humana idiota!"
"Die human!","¡Muere, humana!"
"Die, ugly!","¡Muérete, fea!"
"Die, you son of a...","Muere, hija de..."
"Do not mistake this for cowardice, cur.","No confundas esto con cobardía, cacho perra"
"Do not plague me with indecision! What is your answer, human?","¡Basta ya de indecisiones! ¿Cuál es tu respuesta, humana?"
"Do not plague me with your jests! What is your answer, human?","¡Basta ya de bobadas! ¿Cuál es tu respuesta, humana?"
"Do that again, pig","Hazlo otra vez, cerda"
"Do what? With whom? Anyone else would be less qualified and have less supplies. It'd be suicide.","¿Hacer qué? ¿Con quién? Cualquier otra estaría menos cualificada y tendría menos suministros. Sería un suicidio."
"Do you have a hospital, I'm injured.","¿Hay un hospital? Estoy herida."
"Doing drugs are we? Hell, it's a good thing we aren't hiring your ass again!","Con que de subidón, ¿eh? Demonios, ¡he hecho bien en no contratar otra vez a una maldita yonqui como tú!"
"Don't be stupid.","No seas estúpida."
"Don't do the deal with normies.","No hago tratos con normaluchas."
"Don't give me bullshit, pal. What do you really want?","No me jodas, tía. ¿Qué es lo que quieres?"
"Don't just stand here, get back out there! Now!","No te quedes ahí parada, ¡sal de aquí! ¡Ahora!"
"Drill the scraggin' bastard!","¡Aprende, bastarda retorcida!"
"Drop dead!","¡Cae muerta!"
"Drug-Reliant","Enganchada"
"Drug-Resistant","Inmunizada"
"Each level of Action Boy (insert Girl if you wish) will give you an additional AP to spend every combat turn. You can use these generic APs on any task.","Cada nivel de Chica Acción te dará un PA adicional para gastar en cada turno de combate. Puedes utilizar estos PA genéricos en cualquier tarea."
"Each weakness of body makes my souls stronger, child.","Cada debilidad del cuerpo hace mi alma más fuerte, niña"
"Educated","Instruida"
"Even dead, I'll still look better than you.","Incluso muerta, estaré más guapa que tú."
"Evening, friend!","¡Buenas noches, amiga!"
"Everybody! Take this asshole out now!","¡Atención todos! ¡Sacad de aquí a esta cabrona ahora mismo!"
"Everyone here is filled with love! But it's hard for some people to express their love, and the Nightkin find it extremely hard to express it. But you shall discover this on your own. Praise the Master! Praise the Holy Flame! ","¡Todos aquí están llenos de amor! Pero para algunos es difícil expresarlo y para los Nocturnos mucho más. Pero tú misma tendrás la oportunidad de descubrirlo. ¡Alabado sea el Maestro! ¡Alabada sea la Llama Sagrada! "
"Excuse me, Initiate. Please don't brandish your weapon. Put it away unless you plan on using it.","Discúlpame, Iniciada. Por favor, no empuñes tu arma. Guárdala a menos que pienses usarla."
"Excuse me, brother. You startled me. How may I serve the Master?","Discúlpame, hermana. Me has asustado. ¿Cómo puedo servir al Maestro?"
"Excuse me, sir, this person is a member of one of the merchant guilds.","Discúlpeme, señora, este señor es un miembro del gremio de los mercaderes."
"Experience in unarmed combat has given you the edge when it comes to damage. You cause +2 points of damage with hand-to-hand and melee attacks for each level of this Perk.","Tu experiencia en combate desarmado hace que seas muy dañina para tus adversarios. Causas +2 puntos de daño en combate cuerpo a cuerpo y en melé por cada nivel de esta Ventaja."
"Explorer","Expedicionaria"
"Fast Shot","Tiradora rápida"
"Fat chance! (Attack.)","¡Lo dudo mucho! [Atacas]"
"Filthy human!","¡Humana mugrienta!"
"Finally she knows the taste of hell fire! Bless you, my son. [He wipes away a tear]. Here's an extra 500 caps for putting in the extra effort. You'll always be welcome here.","¡Por fin conoce el sabor del fuego del infierno! Alabada seas, hija mía. [Deja escapar una lágrima.] Aquí tienes 500 chapas extra por tus esfuerzos suplementarios. Siempre serás bienvenida aquí."
"Find someone else.","Búscate a otra."
"Fine. You stay low-profile until I give you the word. Then we have fun.","Bien. Quédate quieta hasta que te dé la orden. Entonces nos divertiremos."
"Fine. You want to play it straight? Sometimes killing's necessary. Sometimes I even like it. But I hear you LOVE killing... all the time. Every time I've met a psycho, either he dies, or Ton dies. Ton is still here. So why don't you go elsewhere.","Vale. ¿Quieres seguir? A veces es necesario matar. A veces incluso me gusta. Pero he oído que a ti te ENCANTA matar... siempre. Cada vez que topo con una psicópata, muere ella o muere Ton. Ton aún está aquí. ¿Así que por qué no te vas a otra parte?"
"Finesse","Refinada"
"For me, madam, it is a place to practice the gift of healing. For others, it is a place where stray souls may be gathered and put on a productive path. Forgive me, but I have no patience for long conversation. There are other people who may instruct you better than I. Please excuse me.","Para mí, señora, es el lugar donde practicar el don de la curación. Para otros, es el lugar donde las almas descarriadas encuentran una senda productiva. Perdóneme, pero no tengo paciencia para mantener conversaciones largas. Hay otras personas que podrían informarla mejor. Por favor, discúlpeme."
"For me, sir, it is a place to practice the gift of healing. For others, it is a place where stray souls may be gathered and put on a productive path. Forgive me, but I have no patience for long conversation. There are other people who may instruct you better than I. Please excuse me.","Para mí, señora, es el lugar donde practicar el don de la curación. Para otros, es el lugar donde las almas descarriadas encuentran una senda productiva. Perdóneme, pero no tengo la paciencia necesaria para mantener conversaciones largas. Otros podrían informarle mejor. Por favor, discúlpeme."
"Forget it. I'm nobody's lackey.","Olvídalo. No soy la lacaya de nadie."
"Forgive me stranger, but I have many duties. Please excuse me. ","Lo siento, extraña, pero tengo mucho que hacer. Por favor, discúlpame. "
"Forgive me, sir. But the forces of darkness are everywhere, and one never knows when you must defend yourself.","Perdóname. Pero las fuerzas de la oscuridad están por todas partes y una nunca sabe cuándo ha de defenderse."
"Fortune-Finder","Afortunada"
"Friend, if you look for the truth with an open mind, you will find us waiting for you. Praise the Master! I wish you well on your quest for enlightenment. ","Amiga, si buscas la verdad con mente abierta, nos encontrarás esperándote. ¡Alabado sea el Maestro! Te deseo lo mejor en tu búsqueda de la iluminación. "
"Friendly Foe","Enemiga Amistosa"
"Funny. I thought I saw some of them out in the street trying to clean up the gangs.","Qué graciosa. Pensé que había visto algunos de ellos en la calle intentando terminar con las bandas."
"Garl's some dumbass who thinks he can take over the world with his crummy raiders. Yeah, whatever.","Garl es a un idiota que piensa que puede controlar el mundo con sus miserables saqueadores. Sí, lo que sea."
"Geez. You're worse off than I am, friend. Luck to you.","Vaya. Amiga, estás todavía peor que yo. Tú sí que necesitas suerte."
"Get him... dead!","Cogedla... ¡pero muerta!"
"Get out of here you damn skag!","¡Fuera de aquí maldita yonqui!"
"Get out of here! You make me sick! That's why you left the caravan? You were on drugs I bet!","¡Sal de aquí! ¡Me pones enferma! ¿Por eso abandonaste la caravana? ¡Apuesto a que estabas drogada!"
"Get out of my face, you son of a bitch!","¡Fuera de mi vista, hija de puta!"
